event,sentence
"('Ginobili,Manu', 'pts', '20')","Parker finished with _STAT_ points and PLAYER_LAST scored STAT for San Antonio, which shot 53 percent from the field."
"('Parker,Tony', 'pts', '23')","PLAYER_LAST finished with STAT points and Ginobili scored 20 for San Antonio, which shot 53 percent from the field."
"('Harris,Devin', 'pts', '17')",PLAYER_FIRST PLAYER_LAST finished with STAT points.
"('Ginobili,Manu', 'pts', '20')","PLAYER_LAST shot just STAT percent during the preseason, going 8 for 41 from the field and 2 for 23 on 3 pointers."
"('Ginobili,Manu', 'fg3', '2')","PLAYER_LAST shot just 20 percent during the preseason, going 8 for 41 from the field and STAT for 23 on 3 pointers."
"('Parker,Tony', 'fg3', '4')","PLAYER_LAST was STAT for STAT from long range, matching a career high for 3s in a game."
"('Parker,Tony', 'fg3', '4')","PLAYER_LAST was STAT for STAT from long range, matching a career high for 3s in a game."
"('Hill,Jordan', 'fg', '2')",Lakers: Randle scored STAT second round pick PLAYER_FIRST Clarkson had eight in their NBA debuts for the Lakers.
"('Randle,Julius', 'pts', '2')",Lakers: PLAYER_LAST scored STAT points and second round pick Jordan Clarkson had eight in their NBA debuts for the Lakers.
"('Harden,James', 'fg3', '3')","Trevor Ariza and Terrence Jones scored _STAT_ apiece, while PLAYER_LAST hit STAT STAT pointers and _STAT_ free throws."
"('Harden,James', 'fg3', '3')","Trevor Ariza and Terrence Jones scored _STAT_ apiece, while PLAYER_LAST hit STAT STAT pointers and _STAT_ free throws."
"('Harden,James', 'ft', '15')","Trevor Ariza and Terrence Jones scored _STAT_ apiece, while PLAYER_LAST hit three 3 pointers and STAT free throws."
"('Boozer,Carlos', 'pts', '17')",PLAYER_FIRST PLAYER_LAST added STAT points in his Lakers debut.
"('Ariza,Trevor', 'pts', '16')","PLAYER_FIRST PLAYER_LAST and Terrence Jones scored STAT points apiece, while Harden hit three 3 pointers and _STAT_ free throws."
"('Lin,Jeremy', 'fg3', '0')",PLAYER_LAST is the Lakers' starting point guard after Steve Nash's latest season ending injury.
"('Clarkson,Jordan', 'pts', '8')",Lakers: Randle scored two points and second round pick PLAYER_FIRST PLAYER_LAST had STAT in their NBA debuts for the Lakers.
"('Black,Tarik', 'pts', '2')",TIP INS Rockets: Rookie PLAYER_FIRST PLAYER_LAST scored STAT points and Kostas Papanikolaou had four in their NBA debuts.
"('Lin,Jeremy', 'pts', '7')"," PLAYER_FIRST PLAYER_LAST scored STAT points against his former teammates in his Lakers debut, struggling to score against Patrick Beverley."
"('Terry,Jason', 'pts', '8')",PLAYER_FIRST PLAYER_LAST scored STAT points off the bench in his Houston debut.
"('Jones,Terrence', 'pts', '16')","Trevor Ariza and PLAYER_FIRST PLAYER_LAST scored STAT points apiece, while Harden hit three 3 pointers and _STAT_ free throws."
"('Ariza,Trevor', 'fg', '5')","PLAYER_LAST hit STAT 3 pointers for the Rockets, who took an 18 point lead in the first half and weren't threatened."
"('Ariza,Trevor', 'fg3', '5')","PLAYER_LAST hit STAT 3 pointers for the Rockets, who took an 18 point lead in the first half and weren't threatened."
"('Papanikolaou,Kostas', 'fg', '2')",TIP INS Rockets: Rookie Tarik Black scored STAT PLAYER_FIRST PLAYER_LAST had four in their NBA debuts.
"('Papanikolaou,Kostas', 'pts', '4')",TIP INS Rockets: Rookie Tarik Black scored two points and PLAYER_FIRST PLAYER_LAST had STAT in their NBA debuts.
"('Parker,Jabari', 'pts', '8')",PLAYER_LAST finished with STAT points in his first NBA game.
"('Mayo,O.J.', 'pts', '17')",PLAYER_LAST was strong off the bench for the Bucks with STAT points on 6 of 10 shooting.
"('Mayo,O.J.', 'fg', '6')",PLAYER_LAST was strong off the bench for the Bucks with _STAT_ on STAT of 10 shooting.
"('Walker,Kemba', 'fg3', '3')","After Middleton made his second free throw, PLAYER_LAST took the inbounds pass, weaved through traffic and pulled up well beyond the STAT point arc."
"('Knight,Brandon', 'pts', '22')"," The Bucks were led by PLAYER_FIRST Knight, who had STAT points and 13 assists."
"('Knight,Brandon', 'ast', '13')"," The Bucks were led by PLAYER_FIRST Knight, who had STAT assists."
"('Jefferson,Al', 'pts', '14')"," Marvin Williams had 19 points, Michael Kidd Gilchrist scored 17 and PLAYER_FIRST PLAYER_LAST finished with STAT points and _STAT_ rebounds for Charlotte."
"('Jefferson,Al', 'trb', '10')", Marvin Williams had 19 Michael Kidd Gilchrist scored 17 and PLAYER_FIRST PLAYER_LAST finished with STAT rebounds for Charlotte.
"('Williams,Marvin', 'pts', '19')"," PLAYER_FIRST PLAYER_LAST had STAT points, Michael Kidd Gilchrist scored 17 and Al Jefferson finished with _STAT_ points and _STAT_ rebounds for Charlotte."
"('Middleton,Khris', 'ft', '3')","After PLAYER_LAST made his second free throw, Walker took the inbounds pass, weaved through traffic and pulled up well beyond the STAT point arc."
"('Middleton,Khris', 'fg3', '0')","After PLAYER_LAST made his second free throw, Walker took the inbounds pass, weaved through traffic and pulled up well beyond the 3 point arc."
"('Kidd-Gilchrist,Michael', 'pts', '17')"," Marvin Williams had 19 points, PLAYER_FIRST Kidd Gilchrist scored STAT and Al Jefferson finished with _STAT_ points and _STAT_ rebounds for Charlotte."
"('Walker,Kemba', 'fg', '9')",PLAYER_LAST struggled in the early going hitting just 2 of 8 shots in the first quarter and was just STAT of 26 for the game.
"('Walker,Kemba', 'pts', '26')",PLAYER_LAST struggled in the early going hitting just 2 of 8 shots in the first quarter and was just 9 of STAT for the game.
"('Sloan,Donald', 'pts', '16')","PLAYER_FIRST PLAYER_LAST had STAT points, _STAT_ rebounds and six assists, and Chris Copeland finished with 11 points."
"('Sloan,Donald', 'trb', '10')","PLAYER_FIRST PLAYER_LAST had 16 STAT rebounds and six assists, and Chris Copeland finished with 11 points."
"('Sloan,Donald', 'fg', '6')","PLAYER_FIRST PLAYER_LAST had 16 _STAT_ rebounds and STAT assists, and Chris Copeland finished with 11 points."
"('Sloan,Donald', 'ast', '6')","PLAYER_FIRST PLAYER_LAST had 16 _STAT_ rebounds and STAT assists, and Chris Copeland finished with 11 points."
"('Hibbert,Roy', 'pts', '22')","PLAYER_LAST had STAT points, eight rebounds and seven blocks, leading the Pacers to a 103 91 victory over the Philadelphia 76ers on Wednesday."
"('Hibbert,Roy', 'trb', '8')","PLAYER_LAST had 22 STAT rebounds and seven blocks, leading the Pacers to a 103 91 victory over the Philadelphia 76ers on Wednesday."
"('Hibbert,Roy', 'blk', '7')","PLAYER_LAST had 22 eight rebounds and STAT blocks, leading the Pacers to a 103 91 victory over the Philadelphia 76ers on Wednesday."
"('Miles,C.J.', 'fg3', '2')","PLAYER_LAST (15 points), Indiana's STAT biggest free agent acquisitions, each made a strong first impression."
"('Copeland,Chris', 'pts', '11')","Donald Sloan had 16 points, _STAT_ rebounds and six assists, and PLAYER_FIRST PLAYER_LAST finished with STAT points."
"('PHI', 'pts', '91')","Hibbert had 22 points, eight rebounds and seven blocks, leading the Pacers to a 103 91 victory over the Philadelphia 76ers on Wednesday."
"('Hibbert,Roy', 'fg', '6')", PLAYER_LAST was STAT of 8 from the field and 10 of 13 from the free throw line.
"('Hibbert,Roy', 'ft', '10')", PLAYER_LAST was 6 of 8 from the field and STAT of 13 from the free throw line.
"('Wroten,Tony', 'pts', '22')",PLAYER_FIRST PLAYER_LAST led the 76ers with STAT points.
"('IND', 'fg3', '8')","Hibbert had 22 eight rebounds and seven blocks, leading the Pacers to a 103 91 victory over the Philadelphia 76ers on Wednesday."
"('IND', 'pts', '103')","Hibbert had 22 points, eight rebounds and seven blocks, leading the Pacers to a 103 91 victory over the Philadelphia 76ers on Wednesday."
"('Noel,Nerlens', 'pts', '6')","PLAYER_LAST had STAT points and 10 rebounds, making going 2 for 11 from the field."
"('Noel,Nerlens', 'trb', '10')","PLAYER_LAST had six STAT rebounds, making going 2 for 11 from the field."
"('Noel,Nerlens', 'fg', '2')","PLAYER_LAST had six 10 rebounds, making going STAT for 11 from the field."
"('Williams,Deron', 'pts', '19')","Joe Johnson scored STAT points for Brooklyn, and PLAYER_FIRST PLAYER_LAST had STAT points and eight assists."
"('Williams,Deron', 'pts', '19')","Joe Johnson scored STAT points for Brooklyn, and PLAYER_FIRST PLAYER_LAST had STAT points and eight assists."
"('Williams,Deron', 'ast', '8')","Joe Johnson scored _STAT_ for Brooklyn, and PLAYER_FIRST PLAYER_LAST had STAT assists."
"('Johnson,Joe', 'pts', '19')","PLAYER_FIRST PLAYER_LAST scored STAT points for Brooklyn, and Deron Williams had STAT points and eight assists."
"('Johnson,Joe', 'pts', '19')","PLAYER_FIRST PLAYER_LAST scored STAT points for Brooklyn, and Deron Williams had STAT points and eight assists."
"('Rondo,Rajon', 'ft', '0')",TIP INS: PLAYER_LAST was STAT for 4 from the free throw line.
"('Thornton,Marcus', 'fg', '4')","PLAYER_FIRST PLAYER_LAST had eight in the second quarter, and Rondo had STAT more assists to give him nine for the half."
"('Gortat,Marcin', 'pts', '18')",PLAYER_FIRST PLAYER_LAST and Drew Gooden led the Wizards with STAT points apiece.
"('Cole,Norris', 'fg3', '3')",But PLAYER_LAST and Mario Chalmers made STAT pointers about two minutes apart to help Miami restore a seven point edge late.
"('Wade,Dwyane', 'pts', '21')","PLAYER_FIRST PLAYER_LAST added STAT points for Miami, 12 of those down the stretch after he briefly departed with a leg injury."
"('Gooden,Drew', 'pts', '18')",Marcin Gortat and PLAYER_FIRST PLAYER_LAST led the Wizards with STAT points apiece.
"('Chalmers,Mario', 'fg', '3')",But Cole and PLAYER_FIRST PLAYER_LAST made STAT pointers about two minutes apart to help Miami restore a seven point edge late.
"('Wall,John', 'pts', '16')","Paul Pierce added 17 in his Washington debut, and PLAYER_FIRST PLAYER_LAST finished with STAT points and 11 assists."
"('Wall,John', 'ast', '11')","Paul Pierce added 17 in his Washington debut, and PLAYER_FIRST PLAYER_LAST finished with STAT assists."
"('Pierce,Paul', 'pts', '17')","PLAYER_FIRST PLAYER_LAST added STAT in his Washington debut, and John Wall finished with _STAT_ points and 11 assists."
"('Carroll,DeMarre', 'fg', '4')","Lowry made a pair of free throws, but Patrick Patterson was called for goaltending on Carroll's shot, keeping the margin at STAT points."
"('Horford,Al', 'pts', '12')","Atlanta's PLAYER_FIRST Horford, limited to 29 games last season by a torn right pectoral muscle, had STAT points and 13 rebounds."
"('Horford,Al', 'trb', '13')","Atlanta's PLAYER_FIRST Horford, limited to 29 games last season by a torn right pectoral muscle, had STAT rebounds."
"('Korver,Kyle', 'fg3', '6')",Hawks: PLAYER_LAST finished STAT for seven from 3 point range.
"('Korver,Kyle', 'fg', '7')",Hawks: PLAYER_LAST finished six for STAT from 3 point range.
"('ATL', 'fg3', '13')"," Kyle Korver, Jeff Teague and Mike Scott each scored _STAT_ for the Hawks, and Paul Millsap had 10 rebounds."
"('ATL', 'orb', '10')"," Kyle Korver, Jeff Teague and Mike Scott each scored _STAT_ for the Hawks, and Paul Millsap had 10 rebounds."
"('Scott,Mike', 'pts', '20')"," Kyle Korver, Jeff Teague and PLAYER_FIRST PLAYER_LAST each scored STAT points for the Hawks, and Paul Millsap had _STAT_ points and 10 rebounds."
"('Lowry,Kyle', 'fg', '3')","DeRozan made four of his _STAT_ field goal attempts, while PLAYER_LAST was STAT of 11."
"('Patterson,Patrick', 'fg', '4')","Lowry made a pair of free throws, but PLAYER_FIRST PLAYER_LAST was called for goaltending on Carroll's shot, keeping the margin at STAT points."
"('ATL', 'fg3', '13')","Atlanta's Al Horford, limited to 29 games last season by a torn right pectoral muscle, had 13 rebounds."
"('Teague,Jeff', 'pts', '20')"," Kyle Korver, PLAYER_FIRST PLAYER_LAST and Mike Scott each scored STAT points for the Hawks, and Paul Millsap had _STAT_ points and 10 rebounds."
"('Patterson,Patrick', 'fg3', '2')","After Teague made one of STAT from the line, PLAYER_LAST sealed Toronto's win with a fast break dunk."
"('Horford,Al', 'fg', '6')","PLAYER_LAST connected on STAT of his 15 attempts, and his baseline jumper at 10:06 of the fourth was the 2,500th field goal of his career."
"('Millsap,Paul', 'pts', '13')"," Kyle Korver, Jeff Teague and Mike Scott each scored _STAT_ points for the Hawks, and PLAYER_FIRST PLAYER_LAST had STAT points and 10 rebounds."
"('Millsap,Paul', 'trb', '10')"," Kyle Korver, Jeff Teague and Mike Scott each scored _STAT_ for the Hawks, and PLAYER_FIRST PLAYER_LAST had STAT rebounds."
"('Teague,Jeff', 'fg3', '1')","After PLAYER_LAST made STAT of two from the line, Patterson sealed Toronto's win with a fast break dunk."
"('TOR', 'ft', '27')","Toronto finished 27 for 33 at the free throw line, while Atlanta went nine for 17."
"('ATL', 'ft', '9')","Toronto finished 27 for 33 at the free throw line, while Atlanta went nine for 17."
"('Korver,Kyle', 'pts', '20')"," PLAYER_FIRST Korver, Jeff Teague and Mike Scott each scored STAT points for the Hawks, and Paul Millsap had _STAT_ points and 10 rebounds."
"('Wiggins,Andrew', 'pts', '6')",PLAYER_LAST scored STAT points in just under 19 minutes.
"('Muhammad,Shabazz', 'fg', '5')",Anthony Bennett scored STAT PLAYER_LAST had four in the spurt.
"('Gasol,Marc', 'trb', '9')","PLAYER_LAST also had STAT rebounds, and Courtney Lee finished with 14 points."
"('Bennett,Anthony', 'fg', '4')",PLAYER_FIRST PLAYER_LAST scored five Muhammad had STAT in the spurt.
"('MIN', 'tov', '23')","Ricky Rubio had seven assists, but also committed seven of Minnesota's 23 turnovers."
"('MIN', 'orb', '19')",Minnesota's total included 19 offensive boards.
"('Young,Thaddeus', 'pts', '26')","PLAYER_FIRST PLAYER_LAST had STAT points in his first game with the Timberwolves, going 10 for 18 from the field."
"('Young,Thaddeus', 'fg', '10')","PLAYER_FIRST PLAYER_LAST had _STAT_ in his first game with the Timberwolves, going STAT for 18 from the field."
"('Randolph,Zach', 'pts', '25')"," PLAYER_FIRST PLAYER_LAST added STAT points and _STAT_ rebounds for Memphis, which had dropped its last _STAT_ openers."
"('Randolph,Zach', 'trb', '13')"," PLAYER_FIRST PLAYER_LAST added STAT rebounds for Memphis, which had dropped its last STAT openers."
"('Randolph,Zach', 'trb', '13')"," PLAYER_FIRST PLAYER_LAST added STAT rebounds for Memphis, which had dropped its last STAT openers."
"('Rubio,Ricky', 'pts', '12')","PLAYER_FIRST PLAYER_LAST had STAT points and seven assists, but also committed seven of Minnesota's 23 turnovers."
"('Rubio,Ricky', 'ast', '7')","PLAYER_FIRST PLAYER_LAST had STAT assists, but also committed STAT of Minnesota's 23 turnovers."
"('Rubio,Ricky', 'tov', '7')","PLAYER_FIRST PLAYER_LAST had STAT assists, but also committed STAT of Minnesota's 23 turnovers."
"('Rubio,Ricky', 'ast', '7')","PLAYER_FIRST PLAYER_LAST had STAT assists, but also committed STAT of Minnesota's 23 turnovers."
"('Rubio,Ricky', 'tov', '7')","PLAYER_FIRST PLAYER_LAST had STAT assists, but also committed STAT of Minnesota's 23 turnovers."
"('Lee,Courtney', 'pts', '14')","Gasol also had nine rebounds, and PLAYER_FIRST PLAYER_LAST finished with STAT points."
"('Williams,Mo', 'pts', '18')",PLAYER_FIRST PLAYER_LAST scored STAT points and Shabazz Muhammad finished with 13.
"('Rose,Derrick', 'pts', '13')",PLAYER_LAST missed the 2012 STAT season after tearing his left ACL in the 2012 playoffs.
"('McDermott,Doug', 'pts', '12')","TIP INS Bulls: PLAYER_FIRST McDermott, the nation's leading scorer at Creighton last season, had STAT points in his NBA debut."
"('CHI', 'fg3', '7')",The former MVP took only seven shots and had five assists in 21 minutes in a game Chicago led by as much as 35.
"('CHI', 'ast', '21')",The former MVP took only seven shots and had five assists in 21 minutes in a game Chicago led by as much as 35.
"('Gasol,Pau', 'fg', '7')"," Gasol, the former Lakers star signed by the Bulls this summer after they failed to land Anthony, shot STAT of 11 from the field."
"('CHI', 'fg3', '7')"," Gasol, the former Lakers star signed by the Bulls this summer after they failed to land Anthony, shot 7 of 11 from the field."
"('Anthony,Carmelo', 'pts', '14')","PLAYER_FIRST PLAYER_LAST had STAT points for the Knicks, who won't have it any easier in the second half of their season opening, back to back."
"('Augustin,D.J.', 'fg', '5')",The Pistons pulled to within 79 77 on Augustin's STAT foot floater.
"('Afflalo,Arron', 'pts', '15')"," PLAYER_FIRST Afflalo, in his second tour with Denver after being acquired in an offseason trade with Orlando, had STAT points."
"('Jennings,Brandon', 'pts', '4')", PLAYER_FIRST PLAYER_LAST did not play in the STATth quarter and was held to STAT points.
"('DET', 'pts', '79')",The Pistons pulled to within 79 77 on Augustin's 5 foot floater.
"('Augustin,D.J.', 'pts', '15')",PLAYER_LAST added STAT points.
"('Gallinari,Danilo', 'pts', '7')",PLAYER_LAST had STAT points on 1 of 8 shooting in limited action in his first game since suffering an ACL injury in April 2013.
"('Gallinari,Danilo', 'fg', '1')",PLAYER_LAST had seven on STAT of 8 shooting in limited action in his first game since suffering an ACL injury in April 2013.
"('Gallinari,Danilo', 'fg3', '1')",PLAYER_LAST had seven on STAT of 8 shooting in limited action in his first game since suffering an ACL injury in April 2013.
"('Smith,Josh', 'pts', '25')"," PLAYER_FIRST Smith, Detroit's leading scorer last season, had STAT points to lead the Pistons."
"('Burks,Alec', 'pts', '18')",PLAYER_FIRST PLAYER_LAST led Utah with STAT points.
"('Howard,Dwight', 'tov', '6')", PLAYER_LAST committed STAT turnovers and fouled out late in the game.
"('HOU', 'fg3', '14')",Houston made 14 of 27 3 point attempts and held Utah to 33 percent shooting in the final quarter.
"('UTA', 'fg3', '3')",Houston made 14 of 27 3 point attempts and held Utah to 33 percent shooting in the final quarter.
"('Papanikolaou,Kostas', 'fg', '4')","Rockets: Papanikolaou, the Greek player in his second NBA game, made his first STAT 3 point attempts."
"('Papanikolaou,Kostas', 'fg3', '4')","Rockets: Papanikolaou, the Greek player in his second NBA game, made his first STAT 3 point attempts."
"('Davis,Ed', 'pts', '14')", PLAYER_FIRST PLAYER_LAST scored STAT points and Wayne Ellington 13 for Los Angeles.
"('Bryant,Kobe', 'fg', '11')"," Bryant, STAT of 25 from the field, didn't play in the fourth quarter."
"('Morris,Marcus', 'pts', '21')", PLAYER_FIRST PLAYER_LAST scored STAT points.
"('Dragic,Goran', 'fg3', '0')",KEY STATS The Suns improved to 17 STAT when PLAYER_LAST and Bledsoe each score at least 16 points.
"('Boozer,Carlos', 'tov', '8')",The Lakers' PLAYER_FIRST PLAYER_LAST had STAT turnovers.
"('PHO', 'fg3', '16')",KEY STATS The Suns improved to 17 0 when Dragic and Bledsoe each score at least 16 points.
"('Bledsoe,Eric', 'pts', '16')",KEY STATS The Suns improved to 17 0 when Dragic and PLAYER_LAST each score at least STAT points.
"('Hill,Jordan', 'fg', '2')", The Lakers trailed only 61 55 after PLAYER_FIRST Hill's STAT free throws with 11:15 left in the third quarter.
"('Hill,Jordan', 'ft', '2')", The Lakers trailed only 61 55 after PLAYER_FIRST Hill's STAT free throws with 11:15 left in the third quarter.
"('Ellington,Wayne', 'pts', '13')", Ed Davis scored _STAT_ points and PLAYER_FIRST PLAYER_LAST STAT for Los Angeles.
"('Ennis,Tyler', 'fg3', '0')","First round draft pick PLAYER_FIRST Ennis, the Suns' fourth point guard, played the final quarter."
"('Clarkson,Jordan', 'fg', '2')", The Lakers trailed only 61 55 after PLAYER_FIRST Hill's STAT free throws with 11:15 left in the third quarter.
"('PHO', 'pts', '119')",The result was a 119 99 Suns blowout.
"('GSW', 'tov', '22')","Golden State outshot Sacramento 44 to 30.8 percent, but had _STAT_ turnovers and was outrebounded 50 to 44."
"('Speights,Marreese', 'pts', '16')",PLAYER_FIRST PLAYER_LAST also entered during the push and finished with STAT points.
"('Batum,Nicolas', 'pts', '16')","PLAYER_LAST finished with STAT points, five rebounds and six assists."
"('Batum,Nicolas', 'fg', '5')",PLAYER_LAST finished with 16 STAT rebounds and six assists.
"('Batum,Nicolas', 'trb', '5')",PLAYER_LAST finished with 16 STAT rebounds and six assists.
"('Batum,Nicolas', 'ast', '6')",PLAYER_LAST finished with 16 five rebounds and STAT assists.
"('Lillard,Damian', 'fg', '3')","Lillard, who had no in the first half, hit a STAT pointer that gave Portland an 81 77 lead with 10:35 go."
"('Lillard,Damian', 'pts', '10')"," LILLARD'S SLOW START: PLAYER_LAST finished with STAT points, seven in the fourth quarter alone."
"('Matthews,Wesley', 'fg3', '5')",He and PLAYER_FIRST PLAYER_LAST combined to make all STAT of their 3 point attempts in the period.
"('OKC', 'fg3', '2')","Oklahoma City's schedule has the Thunder traveling 6,300 total miles with two back to backs."
"('Westbrook,Russell', 'pts', '38')","PLAYER_LAST picked up the slack, with STAT points, including 26 in the first half."
"('Lillard,Damian', 'fg', '3')","After trailing for much of the game, Portland pulled to an 89 80 lead with 7 minutes left on PLAYER_FIRST Lillard's STAT pointer."
"('WAS', 'pts', '105')","John Wall had _STAT_ points and 12 assists, and Washington held off a late surge to beat the Orlando Magic 105 98 on Thursday night."
"('Gordon,Ben', 'pts', '22')","PLAYER_FIRST PLAYER_LAST added STAT points off the bench, and Evan Fournier was solid with _STAT_ points on 8 of 10 shooting."
"('Fournier,Evan', 'pts', '21')","Ben Gordon added _STAT_ points off the bench, and PLAYER_FIRST PLAYER_LAST was solid with STAT points on 8 of 10 shooting."
"('Fournier,Evan', 'fg', '8')","Ben Gordon added _STAT_ off the bench, and PLAYER_FIRST PLAYER_LAST was solid with _STAT_ on STAT of 10 shooting."
"('Pierce,Paul', 'fg3', '2')","After logging 30 plus minutes Wednesday, PLAYER_LAST started a little sluggish in the first half, going just STAT for 5 from the field."
"('ORL', 'pts', '98')","John Wall had _STAT_ points and 12 assists, and Washington held off a late surge to beat the Orlando Magic 105 98 on Thursday night."
"('Vucevic,Nikola', 'pts', '23')", Nik PLAYER_LAST led the Magic with STAT points and 12 rebounds.
"('Vucevic,Nikola', 'trb', '12')", Nik PLAYER_LAST led the Magic with STAT rebounds.
"('ORL', 'tov', '18')","Orlando shot 51 percent but had 18 more turnovers, matching its total from its season opener."
"('Wall,John', 'pts', '30')","PLAYER_FIRST PLAYER_LAST had STAT points and 12 assists, and Washington held off a late surge to beat the Orlando Magic 105 98 on Thursday night."
"('Wall,John', 'ast', '12')","PLAYER_FIRST PLAYER_LAST had STAT assists, and Washington held off a late surge to beat the Orlando Magic 105 98 on Thursday night."
"('Gortat,Marcin', 'pts', '20')",PLAYER_FIRST PLAYER_LAST added STAT points and 12 rebounds.
"('Gortat,Marcin', 'trb', '12')",PLAYER_FIRST PLAYER_LAST added STAT rebounds.
"('Rubio,Ricky', 'pts', '11')","Nikola Pekovic had _STAT_ points and 10 rebounds, and PLAYER_FIRST PLAYER_LAST added STAT points, eight assists and seven boards."
"('Rubio,Ricky', 'ast', '8')","Nikola Pekovic had 10 rebounds, and PLAYER_FIRST PLAYER_LAST added 11 STAT assists and seven boards."
"('Rubio,Ricky', 'trb', '7')","Nikola Pekovic had 10 rebounds, and PLAYER_FIRST PLAYER_LAST added 11 eight assists and STAT boards."
"('Young,Thaddeus', 'fg3', '2')","""It was like STAT grizzly bears fighting each other,"" PLAYER_LAST said."
"('Pekovic,Nikola', 'pts', '17')","PLAYER_FIRST PLAYER_LAST had STAT points and 10 rebounds, and Ricky Rubio added 11 points, eight assists and seven boards."
"('Pekovic,Nikola', 'trb', '10')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, and Ricky Rubio added 11 eight assists and seven boards."
"('Pekovic,Nikola', 'fg', '7')","PLAYER_FIRST PLAYER_LAST had 10 rebounds, and Ricky Rubio added 11 eight assists and STAT boards."
"('Butler,Caron', 'pts', '24')",PLAYER_FIRST PLAYER_LAST scored STAT points and D.J.
"('James,LeBron', 'fg3', '1')",PLAYER_FIRST PLAYER_LAST had STAT of the worst games of his career in the Cavs' loss to the Knicks on Thursday night.
"('James,LeBron', 'fg3', '1')","""It was STAT game,"" PLAYER_LAST said, ""and we've got to learn from it."" TIP INS Knicks: New York's bench outscored Cleveland's 41 12."
"('James,LeBron', 'fg3', '1')","PLAYER_LAST started poorly, shooting just STAT of 9 from the field in the first half."
"('Burke,Trey', 'ast', '7')",PLAYER_LAST had a game high STAT assists.
"('Hayward,Gordon', 'pts', '16')",PLAYER_FIRST PLAYER_LAST and Trey Burke scored STAT apiece for the Jazz.
"('Aminu,Al-Farouq', 'pts', '16')",PLAYER_LAST had STAT points and _STAT_ rebounds in 19 minutes.
"('Aminu,Al-Farouq', 'trb', '10')",PLAYER_LAST had STAT rebounds in 19 minutes.
"('Burke,Trey', 'pts', '16')",Gordon Hayward and PLAYER_FIRST PLAYER_LAST scored STAT apiece for the Jazz.
"('Ellis,Monta', 'pts', '14')","Brandan Wright had STAT points on 6 of 7 shooting, and PLAYER_FIRST PLAYER_LAST had STAT points and six assists."
"('Ellis,Monta', 'fg', '6')","Brandan Wright had _STAT_ on STAT of 7 shooting, and PLAYER_FIRST PLAYER_LAST had STAT assists."
"('Ellis,Monta', 'ast', '6')","Brandan Wright had _STAT_ on STAT of 7 shooting, and PLAYER_FIRST PLAYER_LAST had STAT assists."
"('Ellis,Monta', 'pts', '14')","Brandan Wright had STAT points on 6 of 7 shooting, and PLAYER_FIRST PLAYER_LAST had STAT points and six assists."
"('Ellis,Monta', 'fg', '6')","Brandan Wright had _STAT_ on STAT of 7 shooting, and PLAYER_FIRST PLAYER_LAST had STAT assists."
"('Ellis,Monta', 'ast', '6')","Brandan Wright had _STAT_ on STAT of 7 shooting, and PLAYER_FIRST PLAYER_LAST had STAT assists."
"('Wright,Brandan', 'pts', '14')","PLAYER_FIRST PLAYER_LAST had STAT points on 6 of 7 shooting, and Monta Ellis had STAT points and six assists."
"('Wright,Brandan', 'fg', '6')","PLAYER_FIRST PLAYER_LAST had _STAT_ on STAT of 7 shooting, and Monta Ellis had STAT assists."
"('Wright,Brandan', 'pts', '14')","PLAYER_FIRST PLAYER_LAST had STAT points on 6 of 7 shooting, and Monta Ellis had STAT points and six assists."
