event,sentence
"('Gortat,Marcin', 'trb', '17')"," GORTAT'S DEDICATION Gortat, who scored 10 of his 16 points in the fourth quarter and grabbed 17 rebounds, wore ""AW"" on his shoes to honor late Polish basketball player Alex Wojcik, who died of leukemia at age 47 over the summer."
"('PHI', 'pts', '115')",The experienced Wizards made the plays to beat the young Philadelphia 76ers 120 115 on Wednesday night in the season opener for each team.
"('WAS', 'pts', '120')",The experienced Wizards made the plays to beat the young Philadelphia 76ers 120 115 on Wednesday night in the season opener for each team.
"('Embiid,Joel', 'pts', '18')","After Brown said Embiid would play somewhere in the 15 to 20 minute range, his final total was 26:57 with 18 points and 13 rebounds."
"('Embiid,Joel', 'trb', '13')","After Brown said Embiid would play somewhere in the 15 to 20 minute range, his final total was 26:57 with 18 points and 13 rebounds."
"('Wall,John', 'pts', '28')","Wall scored 28 points on 10 of 28 shooting and had eight assists, and his 15 second stretch in the fourth quarter with a layup, block and pass to Marcin Gortat for a dunk showed what he could do in crucial moments."
"('Wall,John', 'fg', '10')","Wall scored 28 points on 10 of 28 shooting and had eight assists, and his 15 second stretch in the fourth quarter with a layup, block and pass to Marcin Gortat for a dunk showed what he could do in crucial moments."
"('Wall,John', 'pts', '28')","Wall scored 28 points on 10 of 28 shooting and had eight assists, and his 15 second stretch in the fourth quarter with a layup, block and pass to Marcin Gortat for a dunk showed what he could do in crucial moments."
"('Wall,John', 'ft', '8')","Wall scored 28 points on 10 of 28 shooting and had eight assists, and his 15 second stretch in the fourth quarter with a layup, block and pass to Marcin Gortat for a dunk showed what he could do in crucial moments."
"('Wall,John', 'ast', '8')","Wall scored 28 points on 10 of 28 shooting and had eight assists, and his 15 second stretch in the fourth quarter with a layup, block and pass to Marcin Gortat for a dunk showed what he could do in crucial moments."
"('Beal,Bradley', 'pts', '25')",Wizards: Beal finished with 25 points.
"('Bayless,Jerryd', 'pts', '13')", TIP INS 76ers: Jerryd Bayless started in place of Fultz and had 13 points.
"('Covington,Robert', 'pts', '29')",Sixers forward Robert Covington had 29 points.
"('DET', 'ft', '11')"," The Pistons outscored Charlotte 27 18 in the second quarter, building an 11 point lead they didn't have much trouble keeping."
"('Zeller,Cody', 'pts', '8')",Cody Zeller had eight points and nine rebounds for an offensively challenged team that made fewer than 40 percent of its shots.
"('Zeller,Cody', 'trb', '9')",Cody Zeller had eight points and nine rebounds for an offensively challenged team that made fewer than 40 percent of its shots.
"('Walker,Kemba', 'pts', '24')","Charlotte's Kemba Walker scored 24 points, and Jeremy Lamb had 15."
"('DET', 'pts', '102')","Tobias Harris scored 17 of his 27 points in the first quarter and grabbed 10 rebounds, helping Detroit celebrate its return to the city with a 102 90 victory over the Charlotte Hornets on Wednesday night."
"('CHO', 'pts', '90')","Tobias Harris scored 17 of his 27 points in the first quarter and grabbed 10 rebounds, helping Detroit celebrate its return to the city with a 102 90 victory over the Charlotte Hornets on Wednesday night."
"('CHO', 'tov', '17')",KEY STAT Detroit scored 26 points off Charlotte's 17 turnovers while the Hornets had just six points off the Pistons' nine turnovers.
"('CHO', 'fg3', '9')",KEY STAT Detroit scored 26 points off Charlotte's 17 turnovers while the Hornets had just six points off the Pistons' nine turnovers.
"('Johnson,Stanley', 'fg', '0')",Stanley Johnson was 0 for 13 from the field and made two free throws.
"('Johnson,Stanley', 'fg3', '0')",Stanley Johnson was 0 for 13 from the field and made two free throws.
"('Jackson,Reggie', 'pts', '13')",Reggie Jackson had 13 points and eight assists.
"('Jackson,Reggie', 'ast', '8')",Reggie Jackson had 13 points and eight assists.
"('Harris,Tobias', 'pts', '27')","Tobias Harris scored 17 of his 27 points in the first quarter and grabbed 10 rebounds, helping Detroit celebrate its return to the city with a 102 90 victory over the Charlotte Hornets on Wednesday night."
"('Harris,Tobias', 'trb', '10')","Tobias Harris scored 17 of his 27 points in the first quarter and grabbed 10 rebounds, helping Detroit celebrate its return to the city with a 102 90 victory over the Charlotte Hornets on Wednesday night."
"('Ellenson,Henry', 'pts', '13')","Reserve Langston Galloway scored 16 points, Avery Bradley had 15, and Henry Ellenson added 13 points for Detroit in their first game with the franchise."
"('DET', 'fg3', '9')",KEY STAT Detroit scored 26 points off Charlotte's 17 turnovers while the Hornets had just six points off the Pistons' nine turnovers.
"('Galloway,Langston', 'pts', '16')","Reserve Langston Galloway scored 16 points, Avery Bradley had 15, and Henry Ellenson added 13 points for Detroit in their first game with the franchise."
"('Howard,Dwight', 'pts', '10')","Dwight Howard had 10 points, 15 rebounds and two blocks in his debut with the Hornets."
"('Howard,Dwight', 'trb', '15')","Dwight Howard had 10 points, 15 rebounds and two blocks in his debut with the Hornets."
"('Turner,Myles', 'pts', '21')","Newly elected team captain Myles Turner had 21 points, 14 rebounds and four blocks, and former Nets player Thaddeus Young added 17 points and 11 rebounds."
"('Turner,Myles', 'trb', '14')","Newly elected team captain Myles Turner had 21 points, 14 rebounds and four blocks, and former Nets player Thaddeus Young added 17 points and 11 rebounds."
"('Turner,Myles', 'ft', '4')","Newly elected team captain Myles Turner had 21 points, 14 rebounds and four blocks, and former Nets player Thaddeus Young added 17 points and 11 rebounds."
"('Turner,Myles', 'blk', '4')","Newly elected team captain Myles Turner had 21 points, 14 rebounds and four blocks, and former Nets player Thaddeus Young added 17 points and 11 rebounds."
"('BRK', 'fg3', '12')",The Nets kept it close by going 12 of 30 on 3 pointers.
"('BRK', 'orb', '11')","Newly elected team captain Myles Turner had 21 points, 14 rebounds and four blocks, and former Nets player Thaddeus Young added 17 points and 11 rebounds."
"('Lin,Jeremy', 'ft', '7')","Eight Pacers scored in double figures, three finished with double doubles and Indiana produced its highest point total in nearly seven years in a 140 131 season opening victory Wednesday night over the Brooklyn Nets, who lost Jeremy Lin to an apparent knee injury midway through the fourth quarter."
"('IND', 'pts', '140')","Eight Pacers scored in double figures, three finished with double doubles and Indiana produced its highest point total in nearly seven years in a 140 131 season opening victory Wednesday night over the Brooklyn Nets, who lost Jeremy Lin to an apparent knee injury midway through the fourth quarter."
"('Collison,Darren', 'pts', '21')",Darren Collison wound up with 21 points and 11 assists in his return to Indiana.
"('Collison,Darren', 'ast', '11')",Darren Collison wound up with 21 points and 11 assists in his return to Indiana.
"('Young,Thaddeus', 'pts', '17')","Newly elected team captain Myles Turner had 21 points, 14 rebounds and four blocks, and former Nets player Thaddeus Young added 17 points and 11 rebounds."
"('Young,Thaddeus', 'trb', '11')","Newly elected team captain Myles Turner had 21 points, 14 rebounds and four blocks, and former Nets player Thaddeus Young added 17 points and 11 rebounds."
"('Joseph,Cory', 'pts', '11')","Indiana also got 16 points and seven rebounds from Domantas Sabonis, the second acquisition in the George trade, and 11 points from former Toronto Raptors guard Cory Joseph."
"('Lin,Jeremy', 'fg', '5')"," D'Angelo Russell had 30 points and five assists in his Brooklyn debut, but Lin limped to the back after a hard landing on a drive to basket."
"('Crabbe,Allen', 'pts', '12')","Allen Crabbe and DeMarre Carroll, acquired in summer trades, finished with 12 and 10 points for Brooklyn."
"('IND', 'pts', '140')",The Pacers scored 140 points for the first time since putting up 144 against Denver on Nov.
"('Lin,Jeremy', 'pts', '18')","Lin had 18 points, and Caris LeVert scored 12."
"('Carroll,DeMarre', 'pts', '10')","Allen Crabbe and DeMarre Carroll, acquired in summer trades, finished with 12 and 10 points for Brooklyn."
"('Sabonis,Domantas', 'pts', '16')","Indiana also got 16 points and seven rebounds from Domantas Sabonis, the second acquisition in the George trade, and 11 points from former Toronto Raptors guard Cory Joseph."
"('Sabonis,Domantas', 'fg', '7')","Indiana also got 16 points and seven rebounds from Domantas Sabonis, the second acquisition in the George trade, and 11 points from former Toronto Raptors guard Cory Joseph."
"('Sabonis,Domantas', 'trb', '7')","Indiana also got 16 points and seven rebounds from Domantas Sabonis, the second acquisition in the George trade, and 11 points from former Toronto Raptors guard Cory Joseph."
"('Stephenson,Lance', 'pts', '16')",Lance Stephenson scored 16 points off the bench.
"('Bogdanovic,Bojan', 'pts', '14')",Bojan Bogdanovic scored 14 points against his former team.
"('BRK', 'ft', '29')",Brooklyn was 29 of 32 from the free throw line.
"('BRK', 'pts', '131')","Eight Pacers scored in double figures, three finished with double doubles and Indiana produced its highest point total in nearly seven years in a 140 131 season opening victory Wednesday night over the Brooklyn Nets, who lost Jeremy Lin to an apparent knee injury midway through the fourth quarter."
"('Oladipo,Victor', 'pts', '22')","""It was a great first night and hopefully Pacers fans got a chance to see what we're capable of and what type of basketball team we are,"" Victor Oladipo said after finishing with 22 points, five rebounds, four steals and four assists in his Indiana debut."
"('Booker,Trevor', 'pts', '20')",Trevor Booker added 20 points and 10 rebounds off the bench.
"('Booker,Trevor', 'trb', '10')",Trevor Booker added 20 points and 10 rebounds off the bench.
"('BRK', 'fg3', '12')","Allen Crabbe and DeMarre Carroll, acquired in summer trades, finished with 12 and 10 points for Brooklyn."
"('Whiteside,Hassan', 'pts', '26')",Whiteside finished with 26 points and 22 rebounds.
"('Whiteside,Hassan', 'trb', '22')",Whiteside finished with 26 points and 22 rebounds.
"('Olynyk,Kelly', 'pts', '10')",Kelly Olynyk had 10 points in his first game with the Heat and Waiters had 15.
"('Fournier,Evan', 'ft', '2')","But when Miami pulled within two points with 2:39 remaining, Fournier went to work, scoring seven of his team high 23 points in the final 2:27."
"('Fournier,Evan', 'pts', '23')","But when Miami pulled within two points with 2:39 remaining, Fournier went to work, scoring seven of his team high 23 points in the final 2:27."
"('Johnson,Tyler', 'ft', '0')","James Johnson, Dion Waiters and Dragic had been pushing Miami hard while Orlando missed shots during the 11 0 stretch."
"('Vucevic,Nikola', 'pts', '19')"," Orlando center Nikola Vucevic had 19 points, 13 rebounds and two blocks."
"('MIA', 'pts', '109')","Fournier made three clutch shots to slow the hard charging Miami Heat, and the Magic held on for a 116 109 win on Wednesday night    its first season opening victory since 2012."
"('Waiters,Dion', 'ft', '0')","James Johnson, Dion Waiters and Dragic had been pushing Miami hard while Orlando missed shots during the 11 0 stretch."
"('ORL', 'pts', '116')","Fournier made three clutch shots to slow the hard charging Miami Heat, and the Magic held on for a 116 109 win on Wednesday night    its first season opening victory since 2012."
"('Johnson,James', 'pts', '11')","James Johnson, Dion Waiters and Dragic had been pushing Miami hard while Orlando missed shots during the 11 0 stretch."
"('Johnson,James', 'fg3', '0')","James Johnson, Dion Waiters and Dragic had been pushing Miami hard while Orlando missed shots during the 11 0 stretch."
"('BOS', 'pts', '100')","Instead, the Greek Freak fed the ball to Matthew Dellavedova beyond the arc for the 3 pointer that helped seal Milwaukee's 108 100 victory over the Boston Celtics in the Bucks' season opener on Wednesday night."
"('Middleton,Khris', 'pts', '15')","Antetokounmpo added 13 rebounds, Rookie of the Year Malcolm Brogdon scored 19 points and Khris Middleton had 15 points and nine rebounds for the Bucks."
"('Middleton,Khris', 'trb', '9')","Antetokounmpo added 13 rebounds, Rookie of the Year Malcolm Brogdon scored 19 points and Khris Middleton had 15 points and nine rebounds for the Bucks."
"('Tatum,Jayson', 'fg', '3')","3 draft pick Jayson Tatum appeared in a Celtics home uniform for the first time, Hayward was left to wish them well in a pregame video in his hospital gown from his hospital bed."
"('Antetokounmpo,Giannis', 'pts', '37')","""I passed the ball to Delly,"" said Antetokounmpo, who had 16 of his 37 points in the fourth quarter  and the biggest assist of the game, as well."
"('Antetokounmpo,Giannis', 'pts', '37')",Antetokounmpo's 37 points were the third most in his career.
"('Irving,Kyrie', 'pts', '17')"," Kyrie Irving scored 17 points on 7 for 25 shooting in his Boston debut, and Jaylen Brown had 18 in a subdued home opener for the Celtics, who underwent a near complete overhaul over the summer even after earning the No."
"('Irving,Kyrie', 'fg', '7')"," Kyrie Irving scored 17 points on 7 for 25 shooting in his Boston debut, and Jaylen Brown had 18 in a subdued home opener for the Celtics, who underwent a near complete overhaul over the summer even after earning the No."
"('MIL', 'pts', '108')","Instead, the Greek Freak fed the ball to Matthew Dellavedova beyond the arc for the 3 pointer that helped seal Milwaukee's 108 100 victory over the Boston Celtics in the Bucks' season opener on Wednesday night."
"('Tatum,Jayson', 'fg', '3')",3 overall draft pick Tatum had eight points and nine rebounds.
"('Tatum,Jayson', 'pts', '8')",3 overall draft pick Tatum had eight points and nine rebounds.
"('Tatum,Jayson', 'trb', '9')",3 overall draft pick Tatum had eight points and nine rebounds.
"('BOS', 'fg3', '11')", One night after a gruesome broken ankle just six minutes into the season cost Boston top free agent Gordon Hayward    perhaps for the entire year    the Celtics fell to 0 2 by giving up an 11 1 run that left Milwaukee with a 97 90 lead and under three minutes to play.
"('BOS', 'ft', '11')", One night after a gruesome broken ankle just six minutes into the season cost Boston top free agent Gordon Hayward    perhaps for the entire year    the Celtics fell to 0 2 by giving up an 11 1 run that left Milwaukee with a 97 90 lead and under three minutes to play.
"('Antetokounmpo,Giannis', 'fg', '13')","Antetokounmpo added 13 rebounds, Rookie of the Year Malcolm Brogdon scored 19 points and Khris Middleton had 15 points and nine rebounds for the Bucks."
"('Antetokounmpo,Giannis', 'trb', '13')","Antetokounmpo added 13 rebounds, Rookie of the Year Malcolm Brogdon scored 19 points and Khris Middleton had 15 points and nine rebounds for the Bucks."
"('Brogdon,Malcolm', 'pts', '19')","Antetokounmpo added 13 rebounds, Rookie of the Year Malcolm Brogdon scored 19 points and Khris Middleton had 15 points and nine rebounds for the Bucks."
"('Brown,Jaylen', 'pts', '18')"," Kyrie Irving scored 17 points on 7 for 25 shooting in his Boston debut, and Jaylen Brown had 18 in a subdued home opener for the Celtics, who underwent a near complete overhaul over the summer even after earning the No."
"('Dellavedova,Matthew', 'pts', '15')","Dellavedova scored 15 points, including the 3 pointer with 45 seconds left after the Celtics cut the lead to two points."
"('Dellavedova,Matthew', 'fg3', '2')","Dellavedova scored 15 points, including the 3 pointer with 45 seconds left after the Celtics cut the lead to two points."
"('NOP', 'pts', '91')","Conley scored 27 points, Brooks added 19 and the Memphis Grizzlies beat the New Orleans Pelicans 103 91 in their season opener on Wednesday night."
"('Davis,Anthony', 'pts', '33')"," The Pelicans relied on 33 points and 18 rebounds from Anthony Davis, while DeMarcus Cousins finished with 28 points and 10 boards."
"('Davis,Anthony', 'trb', '18')"," The Pelicans relied on 33 points and 18 rebounds from Anthony Davis, while DeMarcus Cousins finished with 28 points and 10 boards."
"('MEM', 'pts', '103')","Conley scored 27 points, Brooks added 19 and the Memphis Grizzlies beat the New Orleans Pelicans 103 91 in their season opener on Wednesday night."
"('Brooks,Dillon', 'pts', '19')","Conley scored 27 points, Brooks added 19 and the Memphis Grizzlies beat the New Orleans Pelicans 103 91 in their season opener on Wednesday night."
"('Brooks,Dillon', 'fg', '7')",Brooks started 3 of 4 from the field and finished 7 of 13.
"('Gasol,Marc', 'pts', '14')", Marc Gasol had 14 points and 11 rebounds.
"('Gasol,Marc', 'trb', '11')", Marc Gasol had 14 points and 11 rebounds.
"('Cousins,DeMarcus', 'pts', '28')"," The Pelicans relied on 33 points and 18 rebounds from Anthony Davis, while DeMarcus Cousins finished with 28 points and 10 boards."
"('Cousins,DeMarcus', 'trb', '10')"," The Pelicans relied on 33 points and 18 rebounds from Anthony Davis, while DeMarcus Cousins finished with 28 points and 10 boards."
"('Conley,Mike', 'pts', '27')","Conley scored 27 points, Brooks added 19 and the Memphis Grizzlies beat the New Orleans Pelicans 103 91 in their season opener on Wednesday night."
"('ATL', 'pts', '117')","Schroder scored 28 points, fellow Euro standout Marco Belinelli added 20 in his first game for Atlanta and the rebuilding Hawks spoiled rookie Dennis Smith Jr.'s solid Dallas debut, beating the Mavericks 117 111 in the opener Wednesday."
"('Harris,Devin', 'pts', '10')"," Smith, the first Dallas rookie to start an opener since 34 year old teammate Devin Harris in 2004, scored his first NBA points on an alley oop dunk to open the Dallas scoring and finished with 16 points and a game high 10 assists."
"('Smith,Dennis', 'fg', '6')","""I think it was just a couple of blown coverages,"" Smith said of the Mavs getting outscored 6 0 in the final minute."
"('Noel,Nerlens', 'pts', '16')"," Nerlens Noel matched Smith with 16 points, his most since coming to Dallas at the trading deadline last season, and had 11 rebounds."
"('Noel,Nerlens', 'trb', '11')"," Nerlens Noel matched Smith with 16 points, his most since coming to Dallas at the trading deadline last season, and had 11 rebounds."
"('Belinelli,Marco', 'pts', '20')","Schroder scored 28 points, fellow Euro standout Marco Belinelli added 20 in his first game for Atlanta and the rebuilding Hawks spoiled rookie Dennis Smith Jr.'s solid Dallas debut, beating the Mavericks 117 111 in the opener Wednesday."
"('DAL', 'pts', '111')","s solid Dallas debut, beating the Mavericks 117 111 in the opener Wednesday."
"('Nowitzki,Dirk', 'pts', '10')","Nowitzki scored 10 points on 4 of 14 shooting, and the surest sign yet that he's putting the franchise in younger hands came late."
"('Nowitzki,Dirk', 'fg', '4')","Nowitzki scored 10 points on 4 of 14 shooting, and the surest sign yet that he's putting the franchise in younger hands came late."
"('Smith,Dennis', 'pts', '16')"," Smith, the first Dallas rookie to start an opener since 34 year old teammate Devin Harris in 2004, scored his first NBA points on an alley oop dunk to open the Dallas scoring and finished with 16 points and a game high 10 assists."
"('Smith,Dennis', 'ast', '10')"," Smith, the first Dallas rookie to start an opener since 34 year old teammate Devin Harris in 2004, scored his first NBA points on an alley oop dunk to open the Dallas scoring and finished with 16 points and a game high 10 assists."
"('Powell,Dwight', 'pts', '6')"," Belinelli, a familiar face for the Mavericks as a former rival with San Antonio, was 4 of 6 from 3 point range to help the Hawks in their first game after letting Paul Millsap leave in free agency and dumping Dwight Howard."
"('Barnes,Harrison', 'pts', '14')",Harrison Barnes scored 14 but was 3 of 13 from the field.
"('Barnes,Harrison', 'fg', '3')",Harrison Barnes scored 14 but was 3 of 13 from the field.
"('Schroder,Dennis', 'pts', '28')","Schroder scored 28 points, fellow Euro standout Marco Belinelli added 20 in his first game for Atlanta and the rebuilding Hawks spoiled rookie Dennis Smith Jr.'s solid Dallas debut, beating the Mavericks 117 111 in the opener Wednesday."
"('Belinelli,Marco', 'fg3', '4')"," Belinelli, a familiar face for the Mavericks as a former rival with San Antonio, was 4 of 6 from 3 point range to help the Hawks in their first game after letting Paul Millsap leave in free agency and dumping Dwight Howard."
"('Matthews,Wesley', 'pts', '15')",Wesley Matthews scored all of his 15 points in the second half.
"('Collins,John', 'pts', '14')","Atlanta's John Collins, the 19th pick, scored 14 points ."
"('Smith,Dennis', 'pts', '16')"," Nerlens Noel matched Smith with 16 points, his most since coming to Dallas at the trading deadline last season, and had 11 rebounds."
"('Schroder,Dennis', 'fg', '13')"," Schroder was 13 of 26 from the field, with all but three of his shots coming inside the 3 point line as the 24 year old in his fifth season attacked the basket repeatedly."
"('UTA', 'pts', '106')","Rudy Gobert had 18 points and 10 rebounds, Burks had 16 and the Utah Jazz beat the Denver Nuggets 106 96 on Wednesday night in the season opener for both teams."
"('Gobert,Rudy', 'pts', '18')","Rudy Gobert had 18 points and 10 rebounds, Burks had 16 and the Utah Jazz beat the Denver Nuggets 106 96 on Wednesday night in the season opener for both teams."
"('Gobert,Rudy', 'trb', '10')","Rudy Gobert had 18 points and 10 rebounds, Burks had 16 and the Utah Jazz beat the Denver Nuggets 106 96 on Wednesday night in the season opener for both teams."
"('DEN', 'fg3', '13')",Denver was outscored 28 13 in the fourth quarter.
"('Jokic,Nikola', 'trb', '12')","Nikola Jokic finished with seven points, 12 rebounds and eight assists."
"('Barton,Will', 'pts', '23')",Will Barton led the Nuggets with 23 points and Paul Millsap added 19.
"('Rubio,Ricky', 'ast', '10')", Derrick Favors added 14 and Ricky Rubio had 10 assists in his first game with the Jazz.
"('Burks,Alec', 'pts', '16')","Rudy Gobert had 18 points and 10 rebounds, Burks had 16 and the Utah Jazz beat the Denver Nuggets 106 96 on Wednesday night in the season opener for both teams."
"('DEN', 'pts', '96')","Rudy Gobert had 18 points and 10 rebounds, Burks had 16 and the Utah Jazz beat the Denver Nuggets 106 96 on Wednesday night in the season opener for both teams."
"('Favors,Derrick', 'pts', '14')", Derrick Favors added 14 and Ricky Rubio had 10 assists in his first game with the Jazz.
"('MIN', 'pts', '99')","Aldridge had 25 points and 10 rebounds, and San Antonio held on for a 107 99 victory over the Minnesota Timberwolves on Wednesday night while playing without leading scorer Kawhi Leonard."
"('Wiggins,Andrew', 'pts', '26')",Andrew Wiggins led Minnesota with 26 points and Karl Anthony Towns had 18.
"('Murray,Dejounte', 'pts', '16')","Dejounte Murray had 16 points, five rebounds and two assists while starting in place of Parker."
"('SAS', 'pts', '107')","Aldridge had 25 points and 10 rebounds, and San Antonio held on for a 107 99 victory over the Minnesota Timberwolves on Wednesday night while playing without leading scorer Kawhi Leonard."
"('Murray,Dejounte', 'fg', '7')","MURRAY MOVING ALONG Murray, in his second year out of Washington, had two assists and two turnovers while shooting 7 for 8 from the field in 25 minutes."
"('Ginobili,Manu', 'pts', '9')","Ginobili finished nine points and four assists, including a 3 pointer within a minute of entering the game midway through the first quarter."
"('Ginobili,Manu', 'ft', '4')","Ginobili finished nine points and four assists, including a 3 pointer within a minute of entering the game midway through the first quarter."
"('Ginobili,Manu', 'ast', '4')","Ginobili finished nine points and four assists, including a 3 pointer within a minute of entering the game midway through the first quarter."
"('Gay,Rudy', 'ft', '4')","Gay, who signed with the Spurs after four seasons in Sacramento, had 14 points and five rebounds."
"('Gay,Rudy', 'pts', '14')","Gay, who signed with the Spurs after four seasons in Sacramento, had 14 points and five rebounds."
"('Gay,Rudy', 'fg', '5')","Gay, who signed with the Spurs after four seasons in Sacramento, had 14 points and five rebounds."
"('Gay,Rudy', 'trb', '5')","Gay, who signed with the Spurs after four seasons in Sacramento, had 14 points and five rebounds."
"('Aldridge,LaMarcus', 'pts', '25')","Aldridge had 25 points and 10 rebounds, and San Antonio held on for a 107 99 victory over the Minnesota Timberwolves on Wednesday night while playing without leading scorer Kawhi Leonard."
"('Aldridge,LaMarcus', 'trb', '10')","Aldridge had 25 points and 10 rebounds, and San Antonio held on for a 107 99 victory over the Minnesota Timberwolves on Wednesday night while playing without leading scorer Kawhi Leonard."
